name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,group_plat,ventas_totales
monster jam: maximum destruction,GBA,2002,Racing,0.07,0.03,0.0,0.0,58.0,,E,nintendo,0.1
fifa street,XB,2005,Sports,0.08,0.02,0.0,0.0,60.0,80.0,E,xbox,0.1
weiss schwarz portable,PSP,2011,Strategy,0.0,0.0,0.1,0.0,,,,play,0.1
dora's big birthday adventure,Wii,2010,Misc,0.09,0.01,0.0,0.01,,,E,nintendo,0.11
the sims 4: city living,PC,2016,Simulation,0.02,0.08,0.0,0.01,77.0,57.0,T,pc,0.11
kirarin * revolution: mezase! idol queen,DS,2007,Simulation,0.0,0.0,0.1,0.0,,,,nintendo,0.1
dungeons & dragons tactics,PSP,2007,Strategy,0.09,0.0,0.0,0.01,,,,play,0.1
x-men: children of the atom,PS,1998,Fighting,0.06,0.04,0.0,0.01,,,,play,0.11
hot wheels: stunt track challenge,XB,2004,Racing,0.08,0.02,0.0,0.0,63.0,62.0,E,xbox,0.1
america's next top model,DS,2008,Action,0.1,0.0,0.0,0.01,,,E10+,nintendo,0.11
blitz: the league ii,X360,2008,Sports,0.08,0.01,0.0,0.01,68.0,72.0,M,xbox,0.1
math blaster in the prime adventure,DS,2009,Misc,0.09,0.0,0.0,0.01,,,E,nintendo,0.1
blue stinger,DC,1999,Adventure,0.0,0.0,0.1,0.0,,,,otros,0.1
shellshock,PS,1995,Action,0.06,0.04,0.0,0.01,,,,play,0.11
miami law,DS,2009,Adventure,0.09,0.0,0.0,0.01,56.0,88.0,T,nintendo,0.1
hot wheels ultimate racing,PSP,2007,Action,0.09,0.0,0.0,0.01,60.0,,E,play,0.1
capcom vs snk 2 eo,XB,2003,Fighting,0.08,0.02,0.0,0.0,80.0,87.0,T,xbox,0.1
inazuma eleven go strikers 2013,Wii,2012,Role-Playing,0.0,0.0,0.1,0.0,,,,nintendo,0.1
metal gear solid hd edition,PS3,2011,Action,0.0,0.0,0.1,0.0,,,,play,0.1
hunter: the reckoning,GC,2002,Action,0.08,0.02,0.0,0.0,70.0,76.0,M,nintendo,0.1
daito giken koushiki pachi-slot simulator: hihouden - ossu! banchou - yoshimune ds,DS,2007,Misc,0.0,0.0,0.1,0.0,,,,nintendo,0.1
pictoimage,DS,2007,Puzzle,0.09,0.0,0.0,0.01,61.0,,E,nintendo,0.1
urban chaos,PS,1999,Action,0.06,0.04,0.0,0.01,,,,play,0.11
alvin and the chipmunks: chipwrecked,DS,2011,Misc,0.06,0.03,0.0,0.01,,,E10+,nintendo,0.1
creeper world 3: arc eternal,Wii,2009,Strategy,0.0,0.0,0.1,0.0,,,,nintendo,0.1
ds kageyama method: dennou hanpuku - tadashii kanji kakitori-kun,DS,2007,Misc,0.0,0.0,0.1,0.0,,,,nintendo,0.1
pdc world championship darts: pro tour,PS3,2010,Sports,0.0,0.08,0.0,0.02,,,,play,0.1
heavy fire: afghanistan,Wii,2011,Shooter,0.09,0.0,0.0,0.01,,,T,nintendo,0.1
freaky flyers,PS2,2003,Racing,0.05,0.04,0.0,0.01,66.0,,T,play,0.1
baten kaitos origins,GC,2006,Role-Playing,0.06,0.02,0.02,0.0,75.0,89.0,T,nintendo,0.1
e·o·e: eve of extinction,PS2,2002,Fighting,0.04,0.03,0.02,0.01,57.0,72.0,T,play,0.1
football manager 2014,PSV,2013,Sports,0.0,0.08,0.0,0.02,,,,play,0.1
dark summit,XB,2001,Sports,0.08,0.02,0.0,0.0,71.0,,T,xbox,0.1
penguin no mondai: the world,DS,2010,Adventure,0.0,0.0,0.1,0.0,,,,nintendo,0.1
flushed away,DS,2006,Platform,0.09,0.0,0.0,0.01,,,,nintendo,0.1
nhl 2004,GC,2003,Sports,0.08,0.02,0.0,0.0,85.0,84.0,E,nintendo,0.1
hakuouki portable,PSP,2009,Adventure,0.0,0.0,0.1,0.0,,,,play,0.1
surf's up,X360,2007,Sports,0.09,0.0,0.0,0.01,61.0,61.0,E10+,xbox,0.1
monkey island: special edition collection,PS3,2011,Adventure,0.0,0.08,0.0,0.02,,,,play,0.1
cabela's adventure camp,X360,2011,Misc,0.07,0.02,0.0,0.01,,,E,xbox,0.1
x-men: the official game,XB,2006,Action,0.08,0.02,0.0,0.0,53.0,81.0,T,xbox,0.1
rlh: run like hell,PS2,2002,Shooter,0.05,0.04,0.0,0.01,58.0,82.0,M,play,0.1
digimon adventure,PSP,2013,Role-Playing,0.0,0.0,0.1,0.0,,,,play,0.1
backyard baseball '10,Wii,2009,Sports,0.09,0.0,0.0,0.01,,,E,nintendo,0.1
scribblenauts unmasked: a dc comics adventure,WiiU,2013,Puzzle,0.09,0.0,0.0,0.01,71.0,63.0,E10+,nintendo,0.1
the ant bully,PS2,2006,Platform,0.05,0.04,0.0,0.01,52.0,42.0,E10+,play,0.1
conflict: global terror,XB,2005,Shooter,0.08,0.02,0.0,0.0,62.0,79.0,M,xbox,0.1
minority report: everybody runs,GC,2002,Action,0.08,0.02,0.0,0.0,53.0,,T,nintendo,0.1
monster rancher evo,PS2,2005,Role-Playing,0.02,0.02,0.05,0.01,58.0,68.0,E10+,play,0.1
football director ds,DS,2008,Sports,0.0,0.1,0.0,0.0,,,,nintendo,0.1
project hacker: kakusei,DS,2006,Action,0.0,0.0,0.1,0.0,,,,nintendo,0.1
simanimals africa,DS,2009,Simulation,0.08,0.02,0.0,0.01,,,E,nintendo,0.11
karaoke revolution,PS3,2009,Misc,0.07,0.02,0.0,0.01,66.0,,T,play,0.1
terraria,PSV,2013,Action,0.0,0.01,0.09,0.0,85.0,78.0,T,play,0.1
guitar hero: van halen,PS2,2009,Misc,0.05,0.04,0.0,0.01,,,T,play,0.1
the whispered world,PC,2009,Adventure,0.0,0.08,0.0,0.02,70.0,76.0,E,pc,0.1
olympic summer games: atlanta 1996,PS,1996,Sports,0.06,0.04,0.0,0.01,,,,play,0.11
disney's the haunted mansion,GC,2003,Platform,0.08,0.02,0.0,0.0,,,,nintendo,0.1
tatsunoko vs capcom: cross generation of heroes,Wii,2008,Fighting,0.0,0.0,0.1,0.0,,,,nintendo,0.1
alvin and the chipmunks: chipwrecked,X360,2011,Misc,0.09,0.01,0.0,0.01,,51.0,E10+,xbox,0.11
water sports,Wii,2009,Action,0.05,0.04,0.0,0.01,,,E,nintendo,0.1
agatha christie: the abc murders,DS,2009,Adventure,0.08,0.01,0.0,0.01,53.0,65.0,T,nintendo,0.1
korg ds-10 synthesizer plus,DS,2009,Misc,0.07,0.0,0.02,0.01,,,,nintendo,0.1
darius gaiden,SAT,1995,Shooter,0.0,0.0,0.1,0.0,,,,otros,0.1
help wanted: 50 wacky jobs,Wii,2008,Simulation,0.06,0.03,0.0,0.01,65.0,70.0,E10+,nintendo,0.1
all kamen rider: rider generation 2,DS,2012,Action,0.0,0.0,0.1,0.0,,,,nintendo,0.1
beach spikers: virtua beach volleyball,GC,2002,Sports,0.08,0.02,0.0,0.0,76.0,81.0,E,nintendo,0.1
draglade,DS,2007,Fighting,0.09,0.0,0.0,0.01,71.0,75.0,E10+,nintendo,0.1
scribblenauts unmasked: a dc comics adventure,3DS,2013,Puzzle,0.09,0.0,0.0,0.01,68.0,62.0,E10+,nintendo,0.1
fallout 3 game add-on pack: the pitt and operation: anchorage,X360,2009,Role-Playing,0.09,0.0,0.0,0.01,,,M,xbox,0.1
you don't know jack: mock 2,PS,2000,Misc,0.06,0.04,0.0,0.01,82.0,,E,play,0.11
3d tank warfare simulator panzer front,PS,1999,Simulation,0.06,0.04,0.0,0.01,,,,play,0.11
jade cocoon 2,PS2,2001,Role-Playing,0.05,0.04,0.0,0.01,76.0,78.0,T,play,0.1
lord of apocalypse,PSV,2011,Role-Playing,0.0,0.0,0.1,0.0,,,,play,0.1
igor: the game,Wii,2008,Adventure,0.09,0.0,0.0,0.01,,,E,nintendo,0.1
kabushiki baibai trainer: kabutore!,DS,2006,Simulation,0.0,0.0,0.1,0.0,,,,nintendo,0.1
dancing on ice,Wii,2010,Sports,0.0,0.09,0.0,0.01,,,,nintendo,0.1
mana khemia: student alliance,PSP,2008,Role-Playing,0.06,0.0,0.03,0.01,41.0,53.0,E10+,play,0.1
the destiny of zorro,Wii,2009,Action,0.09,0.0,0.0,0.01,,,E10+,nintendo,0.1
sword & sorcery,SAT,1996,Role-Playing,0.0,0.0,0.1,0.0,,,,otros,0.1
van helsing,GBA,2004,Action,0.07,0.03,0.0,0.0,33.0,63.0,T,nintendo,0.1
bee movie game,PS2,2007,Action,0.05,0.04,0.0,0.01,65.0,75.0,E,play,0.1
resident evil: revelations 2,PSV,2015,Action,0.0,0.03,0.07,0.01,65.0,78.0,M,play,0.11
record of agarest war zero,X360,2010,Strategy,0.09,0.0,0.0,0.01,,68.0,T,xbox,0.1
hop,DS,2011,Platform,0.08,0.01,0.0,0.01,,,,nintendo,0.1
usa today puzzle craze,DS,2009,Puzzle,0.09,0.0,0.0,0.01,,,E,nintendo,0.1
machi-ing maker 3 x tousouchuu,PSP,2010,Simulation,0.0,0.0,0.1,0.0,,,,play,0.1
truth or lies,Wii,2010,Misc,0.04,0.05,0.0,0.01,,,T,nintendo,0.1
kelly slater's pro surfer,XB,2002,Sports,0.08,0.02,0.0,0.0,80.0,80.0,E,xbox,0.1
snk vs capcom: svc chaos,XB,2004,Fighting,0.08,0.02,0.0,0.0,,,,xbox,0.1
nfl tour,X360,2008,Sports,0.09,0.0,0.0,0.01,49.0,31.0,E,xbox,0.1
master of the monster lair,DS,2007,Role-Playing,0.09,0.0,0.0,0.01,56.0,,E10+,nintendo,0.1
harry potter and the deathly hallows - part 1,PC,2010,Action,0.08,0.02,0.0,0.01,37.0,41.0,T,pc,0.11
sudoku mania,DS,2006,Puzzle,0.09,0.0,0.0,0.01,25.0,35.0,E,nintendo,0.1
codename: kids next door: operation videogame,PS2,2005,Platform,0.05,0.04,0.0,0.01,49.0,80.0,E10+,play,0.1
choujikuu yousai macross: ai oboete imasu ka,SAT,1997,Shooter,0.0,0.0,0.1,0.0,,,,otros,0.1
resident evil: revelations 2,XOne,2015,Action,0.07,0.02,0.0,0.01,75.0,75.0,M,xbox,0.1
thief (2014),PC,2014,Action,0.0,0.09,0.0,0.01,,,,pc,0.1
vanishing point,PS,2001,Racing,0.06,0.04,0.0,0.01,68.0,,E,play,0.11
dragonseeds,PS,1998,Action,0.03,0.02,0.04,0.01,,,,play,0.1
the bard's tale,XB,2004,Role-Playing,0.08,0.02,0.0,0.0,75.0,88.0,T,xbox,0.1
nodame cantabile,DS,2007,Misc,0.0,0.0,0.1,0.0,,,,nintendo,0.1
the history channel: civil war - secret missions,PS3,2008,Shooter,0.09,0.0,0.0,0.01,,,,play,0.1
alien hominid,PS2,2004,Shooter,0.05,0.04,0.0,0.01,78.0,83.0,T,play,0.1
world snooker championship 2007,PS3,2007,Sports,0.0,0.1,0.0,0.0,,,,play,0.1
l'aigle de guerre,GBA,2001,Strategy,0.0,0.0,0.1,0.0,,,,nintendo,0.1
earth defense force 20251: the shadow of new despair,PS4,2015,Action,0.0,0.0,0.1,0.0,,,,play,0.1
lode runner 3-d,N64,1998,Action,0.08,0.02,0.0,0.0,,,,nintendo,0.1
indy racing 2000,N64,2000,Racing,0.08,0.02,0.0,0.0,,,,nintendo,0.1
gt64 championship edition,N64,1998,Racing,0.08,0.02,0.0,0.0,,,,nintendo,0.1
milo's astro lanes,N64,1998,Sports,0.08,0.02,0.0,0.0,,,,nintendo,0.1
jeopardy!,N64,1998,Misc,0.08,0.02,0.0,0.0,,,,nintendo,0.1
disney's donald duck: goin' quackers,N64,2000,Platform,0.08,0.02,0.0,0.0,,,,nintendo,0.1
aidyn chronicles: the first mage,N64,2001,Role-Playing,0.08,0.02,0.0,0.0,,,,nintendo,0.1
virtual pool 64,N64,1998,Sports,0.08,0.02,0.0,0.0,,,,nintendo,0.1
flying dragon,N64,1997,Fighting,0.08,0.02,0.0,0.0,,,,nintendo,0.1
international superstar soccer 64 (weekly jp sales),N64,1997,Sports,0.0,0.0,0.05,0.05,,,,nintendo,0.1
gekido,PS,1999,Fighting,0.06,0.04,0.0,0.01,,,,play,0.11
myst,DS,2007,Adventure,0.09,0.0,0.0,0.01,43.0,35.0,E,nintendo,0.1
sword art online: lost song,PS3,2015,Role-Playing,0.0,0.0,0.1,0.0,,,,play,0.1
disney's the jungle book,GBA,2002,Platform,0.07,0.03,0.0,0.0,60.0,,E,nintendo,0.1
puss in boots,DS,2011,Action,0.08,0.01,0.0,0.01,,,E,nintendo,0.1
tom clancy's ghost recon: predator,PSP,2010,Shooter,0.07,0.02,0.0,0.02,54.0,,T,play,0.11
murdered: soul suspect,X360,2014,Action,0.06,0.03,0.0,0.01,,72.0,M,xbox,0.1
army men world war: team assault,PS,2001,Action,0.06,0.04,0.0,0.01,,,,play,0.11
deca sports ds,DS,2009,Sports,0.07,0.02,0.0,0.01,57.0,,E,nintendo,0.1
nail'd,X360,2010,Racing,0.08,0.02,0.0,0.01,64.0,71.0,E10+,xbox,0.11
tom clancy's splinter cell,GBA,2003,Action,0.07,0.03,0.0,0.0,77.0,86.0,T,nintendo,0.1
bullet witch,X360,2006,Shooter,0.07,0.01,0.02,0.01,55.0,61.0,M,xbox,0.11
spider-man: web of shadows,DS,2008,Action,0.09,0.0,0.0,0.01,77.0,75.0,E10+,nintendo,0.1
pinball hall of fame: the williams collection,3DS,2011,Misc,0.09,0.0,0.0,0.01,67.0,73.0,E10+,nintendo,0.1
rolling stone: drum king,Wii,2009,Misc,0.09,0.0,0.0,0.01,32.0,18.0,T,nintendo,0.1
nba ballers: rebound,PSP,2006,Sports,0.09,0.0,0.0,0.01,69.0,77.0,E,play,0.1
marvel vs capcom: clash of super heroes,DC,1999,Fighting,0.0,0.0,0.1,0.0,,,,otros,0.1
silent scope complete,XB,2004,Shooter,0.07,0.02,0.0,0.0,69.0,74.0,M,xbox,0.09
king's field: the ancient city,PS2,2001,Role-Playing,0.05,0.04,0.0,0.01,60.0,85.0,T,play,0.1
lego rock raiders,PS,1999,Strategy,0.06,0.04,0.0,0.01,,,,play,0.11
ghost in the shell,PS,1997,Simulation,0.06,0.04,0.0,0.01,,,,play,0.11
leisure suit larry: box office bust,PS3,2009,Adventure,0.06,0.03,0.0,0.01,17.0,17.0,M,play,0.1
attack of the movies 3d,Wii,2010,Shooter,0.09,0.0,0.0,0.01,39.0,,T,nintendo,0.1
monkey mischief! party time,Wii,2008,Misc,0.09,0.0,0.0,0.01,,,E10+,nintendo,0.1
evil dead: fistfull of boomstick,XB,2003,Action,0.07,0.02,0.0,0.0,,,,xbox,0.09
tom clancy's classic trilogy,XB,2004,Shooter,0.07,0.02,0.0,0.0,,,M,xbox,0.09
harvest moon ds cute (jp sales),DS,2005,Simulation,0.0,0.0,0.1,0.0,,,,nintendo,0.1
little league world series baseball 2010,X360,2010,Sports,0.09,0.0,0.0,0.01,55.0,,E,xbox,0.1
indigo prophecy,XB,2005,Adventure,0.07,0.03,0.0,0.0,84.0,77.0,M,xbox,0.1
bleach: dark souls (jp sales),DS,2007,Fighting,0.0,0.0,0.1,0.0,,,,nintendo,0.1
kiku! kaku! kotoba o fuyasu! hajimete no eigo training,DS,2007,Misc,0.0,0.0,0.1,0.0,,,,nintendo,0.1
generator rex: agent of providence,3DS,2011,Action,0.07,0.02,0.0,0.01,,,E10+,nintendo,0.1
over the hedge,XB,2006,Platform,0.07,0.02,0.0,0.0,61.0,,E10+,xbox,0.09
cabela's north american adventures,PSP,2010,Sports,0.09,0.0,0.0,0.01,,78.0,T,play,0.1
world series of poker 2008: battle for the bracelets,PS3,2007,Misc,0.08,0.01,0.0,0.01,75.0,,T,play,0.1
sneakers,XB,2002,Puzzle,0.07,0.02,0.0,0.0,28.0,46.0,E,xbox,0.09
crime crackers,PS,1994,Role-Playing,0.0,0.0,0.09,0.01,,,,play,0.1
nhl 2k6,X360,2005,Sports,0.09,0.0,0.0,0.01,75.0,61.0,E10+,xbox,0.1
score international baja 1000: the official game,Wii,2008,Racing,0.09,0.0,0.0,0.01,,,,nintendo,0.1
micro machines v3,PS,1997,Racing,0.06,0.04,0.0,0.01,,,,play,0.11
x-men: destiny,Wii,2011,Action,0.07,0.02,0.0,0.01,36.0,45.0,T,nintendo,0.1
college hoops 2k6,XB,2005,Sports,0.07,0.02,0.0,0.0,82.0,92.0,E,xbox,0.09
contact,DS,2006,Role-Playing,0.07,0.0,0.03,0.01,73.0,82.0,E10+,nintendo,0.11
"warhammer 40,000: dawn of war ii - chaos rising",PC,2010,Strategy,0.08,0.01,0.0,0.01,,,,pc,0.1
"sakura wars 2: kimi, shinitamou koto nakare",DC,2000,Adventure,0.0,0.0,0.1,0.0,,,,otros,0.1
idol janshi suchie-pai remix,SAT,1995,Misc,0.0,0.0,0.1,0.0,,,,otros,0.1
nba 2k16,PC,2015,Sports,0.03,0.06,0.0,0.01,,57.0,E10+,pc,0.1
exhibition volume 03,XB,2003,Misc,0.07,0.02,0.0,0.0,,,,xbox,0.09
fate/hollow ataraxia,PSV,2014,Adventure,0.0,0.0,0.1,0.0,,,,play,0.1
marvel super hero squad: the infinity gauntlet,3DS,2011,Action,0.07,0.02,0.0,0.01,54.0,,E10+,nintendo,0.1
harvey birdman: attorney at law,PSP,2008,Adventure,0.09,0.0,0.0,0.01,62.0,80.0,T,play,0.1
zero4 champ rr-z,SNES,1995,Racing,0.0,0.0,0.1,0.0,,,,nintendo,0.1
initial d: street stage,PSP,2006,Racing,0.0,0.0,0.1,0.0,,,,play,0.1
tales of innocence r,PSV,2012,Role-Playing,0.0,0.0,0.1,0.0,,,,play,0.1
harry potter and the deathly hallows - part 2,PC,2011,Action,0.05,0.04,0.0,0.01,43.0,50.0,,pc,0.1
nicktoons: mlb,DS,2011,Sports,0.09,0.0,0.0,0.01,,,,nintendo,0.1
tom clancy's hawx 2,Wii,2010,Action,0.06,0.03,0.0,0.01,47.0,,T,nintendo,0.1
predator: concrete jungle,XB,2005,Action,0.07,0.02,0.0,0.0,46.0,80.0,M,xbox,0.09
lucky * star: ryouou gakuen outousai,PS2,2008,Adventure,0.0,0.0,0.1,0.0,,,,play,0.1
start the party! save the world,PS3,2011,Misc,0.0,0.08,0.0,0.02,,,,play,0.1
opoona,Wii,2007,Role-Playing,0.08,0.0,0.01,0.01,65.0,77.0,E10+,nintendo,0.1
big league sports,Wii,2008,Sports,0.09,0.01,0.0,0.01,,14.0,E,nintendo,0.11
naruto shippuden: gekito ninja taisen! ex,Wii,2007,Fighting,0.0,0.0,0.1,0.0,,,,nintendo,0.1
universal studios theme parks adventure,GC,2001,Misc,0.08,0.02,0.0,0.0,39.0,29.0,T,nintendo,0.1
nihon keizai shinbunsha kanshuu: shiranai mamade wa son o suru mono ya okane no shikumi ds,DS,2009,Misc,0.0,0.0,0.1,0.0,,,,nintendo,0.1
steins;gate,PSV,2013,Adventure,0.04,0.04,0.0,0.02,83.0,92.0,M,play,0.1
piglet's big game,PS2,2003,Platform,0.05,0.04,0.0,0.01,,,E,play,0.1
real bout garou densetsu,SAT,1996,Fighting,0.0,0.0,0.1,0.0,,,,otros,0.1
"prinny 2: dawn of operation panties, dood!",PSP,2010,Platform,0.05,0.0,0.03,0.01,,,,play,0.09
project fifa world cup,PS2,2002,Sports,0.0,0.0,0.1,0.0,,,,play,0.1
rocky: legends,XB,2004,Action,0.07,0.02,0.0,0.0,67.0,52.0,T,xbox,0.09
the bigs 2,PSP,2009,Sports,0.09,0.0,0.0,0.01,67.0,,E10+,play,0.1
lord of apocalypse,PSP,2011,Role-Playing,0.0,0.0,0.1,0.0,,,,play,0.1
dora & kai-lan's pet shelter,DS,2011,Strategy,0.08,0.01,0.0,0.01,,,,nintendo,0.1
famicom mini: famicom tantei club part ii - ushiro ni tatsu shoujo zenkouhen,GBA,2004,Adventure,0.0,0.0,0.1,0.0,,,,nintendo,0.1
nancy drew: the model mysteries,DS,2010,Puzzle,0.09,0.0,0.0,0.01,,,E10+,nintendo,0.1
higurashi no nakukoru ni kizuna: dai-ni-kan - sou,DS,2008,Adventure,0.0,0.0,0.1,0.0,,,,nintendo,0.1
cate west: the vanishing files,DS,2008,Adventure,0.08,0.01,0.0,0.01,68.0,,E10+,nintendo,0.1
star trek: shattered universe,PS2,2004,Simulation,0.05,0.04,0.0,0.01,42.0,83.0,E,play,0.1
fifi and the flowertots,DS,2009,Misc,0.0,0.09,0.0,0.01,,,,nintendo,0.1
the land before time: great valley racing adventure,PS,2001,Racing,0.05,0.04,0.0,0.01,,,,play,0.1
system flaw,DS,2009,Shooter,0.09,0.0,0.0,0.01,,,E,nintendo,0.1
ultra street fighter iv,PS4,2015,Fighting,0.0,0.08,0.0,0.01,71.0,59.0,T,play,0.09
eve: valkyrie,PS4,2016,Shooter,0.03,0.05,0.0,0.02,73.0,63.0,T,play,0.1
dragon ball: evolution,PSP,2009,Fighting,0.09,0.0,0.0,0.01,28.0,9.0,T,play,0.1
the walking dead: season two,X360,2014,Adventure,0.04,0.05,0.0,0.01,,,,xbox,0.1
the crew: wild run,PS4,2015,Action,0.0,0.08,0.0,0.01,73.0,68.0,T,play,0.09
pajama sam: don't fear the dark,Wii,2008,Adventure,0.09,0.0,0.0,0.01,,,,nintendo,0.1
the walking dead: season two,PSV,2014,Adventure,0.07,0.0,0.01,0.02,,,,play,0.1
mtx mototrax,XB,2004,Racing,0.07,0.02,0.0,0.0,79.0,,E,xbox,0.09
blast chamber,PS,1996,Shooter,0.05,0.04,0.0,0.01,,,,play,0.1
championship pony,DS,2008,Simulation,0.09,0.0,0.0,0.01,,,E,nintendo,0.1
nascar unleashed,PS3,2011,Racing,0.09,0.0,0.0,0.01,,,E,play,0.1
code:realize - sousei no himegimi,PSV,2014,Adventure,0.05,0.0,0.03,0.02,,,,play,0.1
natural doctrine,PS4,2014,Role-Playing,0.05,0.02,0.02,0.01,53.0,60.0,M,play,0.1
neverdead,X360,2012,Shooter,0.06,0.03,0.0,0.01,52.0,55.0,M,xbox,0.1
eyetoy: operation spy,PS2,2005,Action,0.05,0.04,0.0,0.01,53.0,,E,play,0.1
motogp 07,PS2,2007,Racing,0.05,0.04,0.0,0.01,62.0,91.0,E,play,0.1
blades of time,PS3,2012,Action,0.04,0.03,0.01,0.01,53.0,72.0,M,play,0.09
disney sing it! high school musical 3: senior year,X360,2009,Misc,0.09,0.0,0.0,0.01,,,,xbox,0.1
thor: god of thunder,3DS,2011,Action,0.06,0.03,0.0,0.01,55.0,42.0,T,nintendo,0.1
option tuning car battle,PS,1998,Racing,0.0,0.0,0.09,0.01,,,,play,0.1
ridge racer 2,PSP,2006,Racing,0.0,0.02,0.07,0.01,,,,play,0.1
pro evolution soccer 2016,X360,2015,Sports,0.04,0.05,0.0,0.01,,70.0,E,xbox,0.1
derby jockey 2,SNES,1995,Sports,0.0,0.0,0.1,0.0,,,,nintendo,0.1
cubic ninja,3DS,2011,Platform,0.05,0.04,0.0,0.01,51.0,59.0,E,nintendo,0.1
famicom mini: mappy,GBA,2004,Platform,0.0,0.0,0.09,0.0,,,,nintendo,0.09
ben 10 galactic racing,X360,2011,Racing,0.07,0.02,0.0,0.01,,,E,xbox,0.1
reign of fire,XB,2002,Shooter,0.07,0.02,0.0,0.0,54.0,,M,xbox,0.09
descent maximum,PS,1997,Shooter,0.05,0.04,0.0,0.01,,,,play,0.1
f1 2014,PC,2014,Racing,0.0,0.09,0.0,0.01,61.0,48.0,E,pc,0.1
king of clubs: mini golf,Wii,2008,Sports,0.09,0.0,0.0,0.01,,,,nintendo,0.1
harvest moon: frantic farming,DS,2009,Puzzle,0.08,0.0,0.0,0.01,72.0,68.0,E,nintendo,0.09
angry birds star wars,WiiU,2013,Strategy,0.05,0.04,0.0,0.01,,68.0,E,nintendo,0.1
petz hamsterz superstarz,DS,2009,Simulation,0.09,0.0,0.0,0.01,,,E,nintendo,0.1
blue dragon: awakened shadow,DS,2009,Role-Playing,0.06,0.0,0.03,0.0,63.0,66.0,E10+,nintendo,0.09
star wars: lethal alliance,DS,2006,Action,0.08,0.01,0.0,0.01,57.0,,E10+,nintendo,0.1
shining force exa,PS2,2007,Role-Playing,0.0,0.0,0.1,0.0,64.0,73.0,E10+,play,0.1
virtual pro wrestling,PS,1996,Fighting,0.0,0.0,0.09,0.01,,,,play,0.1
rapala pro bass fishing 2010,DS,2010,Sports,0.09,0.0,0.0,0.01,,,E,nintendo,0.1
shadow tower,PS,1998,Role-Playing,0.01,0.01,0.07,0.01,,,,play,0.1
digimon world ds,DS,2006,Role-Playing,0.09,0.0,0.0,0.01,71.0,76.0,E10+,nintendo,0.1
csi: hard evidence,X360,2007,Adventure,0.07,0.02,0.0,0.01,,,,xbox,0.1
mysims skyheroes,X360,2010,Action,0.09,0.0,0.0,0.01,56.0,55.0,E10+,xbox,0.1
ford racing 3,DS,2005,Racing,0.09,0.0,0.0,0.01,49.0,,E,nintendo,0.1
ice age 2: the meltdown,XB,2006,Platform,0.07,0.02,0.0,0.0,68.0,,E10+,xbox,0.09
guilty gear isuka,PS2,2004,Fighting,0.05,0.04,0.0,0.01,73.0,75.0,T,play,0.1
the secret saturdays: beasts of the 5th sun,Wii,2009,Action,0.09,0.0,0.0,0.01,60.0,,E10+,nintendo,0.1
horse life adventures,DS,2008,Simulation,0.08,0.01,0.0,0.01,,,E,nintendo,0.1
the idolmaster: platinum stars,PS4,2016,Simulation,0.0,0.0,0.1,0.0,,,,play,0.1
jikkyou powerful pro yakyuu 2013,PSV,2013,Sports,0.0,0.0,0.1,0.0,,,,play,0.1
tornado outbreak,Wii,2009,Action,0.09,0.0,0.0,0.01,71.0,82.0,E10+,nintendo,0.1
shadow master,PS,1997,Adventure,0.05,0.04,0.0,0.01,,,,play,0.1
global touring challenge: africa,PS2,2001,Racing,0.05,0.04,0.0,0.01,64.0,,E,play,0.1
shovel knight,WiiU,2015,Platform,0.05,0.04,0.0,0.01,88.0,83.0,E,nintendo,0.1
makai shin trillion,PSV,2014,Role-Playing,0.02,0.01,0.06,0.01,,,,play,0.1
tokimeki memorial: taisen pazurudama,PS,1996,Puzzle,0.0,0.0,0.09,0.01,,,,play,0.1
digimon world: next order,PSV,2016,Action,0.0,0.0,0.1,0.0,,,,play,0.1
who wants to be a millionaire?,X360,2011,Misc,0.09,0.0,0.0,0.01,,,,xbox,0.1
the secret saturdays: beasts of the 5th sun,PSP,2009,Action,0.08,0.0,0.0,0.01,,,E10+,play,0.09
operation abyss: new tokyo legacy,PSV,2014,Role-Playing,0.02,0.0,0.06,0.01,66.0,73.0,M,play,0.09
skylanders: spyro's adventure,PC,2011,Action,0.05,0.03,0.0,0.01,,35.0,E10+,pc,0.09
man vs wild,X360,2011,Action,0.09,0.0,0.0,0.01,,46.0,T,xbox,0.1
ciel nosurge: ushinawareta hoshi e sasagu uta,PSV,2012,Adventure,0.0,0.0,0.1,0.0,,,,play,0.1
watchmen: the end is nigh part 1 & 2,X360,2009,Action,0.09,0.0,0.0,0.01,,,,xbox,0.1
motogp 2,XB,2003,Racing,0.07,0.02,0.0,0.0,87.0,85.0,E,xbox,0.09
pro yakyuu famista ds,DS,2007,Sports,0.0,0.0,0.1,0.0,,,,nintendo,0.1
icarly 2: ijoin the click!,Wii,2010,Adventure,0.08,0.01,0.0,0.01,,90.0,E,nintendo,0.1
ultimate muscle - the kinnikuman legacy: the path of the superhero,GBA,2002,Fighting,0.05,0.02,0.03,0.0,,,,nintendo,0.1
gundam breaker 3,PS4,2016,Action,0.0,0.0,0.1,0.0,,,,play,0.1
etrian odyssey 2 untold: knight of fafnir,3DS,2014,Role-Playing,0.07,0.02,0.0,0.01,,,,nintendo,0.1
paws & claws: pet vet,Wii,2009,Simulation,0.09,0.0,0.0,0.01,,,,nintendo,0.1
